major name ,Minimum Admission Rank,major presentation
经济学,23708,"以国家能源战略和经济社会发展为导向，突出能源经济特色，致力于建设成为国外知名、国内一流的能源经济、区域经济特色鲜明的经济学专业。培养具有扎实的经济学基础理论知识和能源行业专门知识，能够熟练运用经济学研究方法解决复杂经济问题的高层次、复合型人才。
2017年，在全国第四轮学科评估中，本专业依托的应用经济学学科被评为C,位列山东省第5位。"
化学,23708,
能源化学工程,23708,"能源化学工程专业是适应能源产业发展新形势而设置的学科交叉型专业，是化学工程科学在能源领域的拓展与延伸。能源化学工程专业未来将瞄准能源资源开发和利用的前沿问题，面向国家能源战略需求，突出学科交叉。
能源化学工程专业培养的是宽口径、复合型化学工程专业人才，可在化工、能源、轻工、安全、环保和军工等领域就业，。"
安全工程,23708,
工程力学,23708,"本专业培养在力学基础理论与工程应用，包括机械工程、航天航空工程、海洋工程、石油工程、土木工程等领域结构分析与强度可靠性设计方面的复合型人才。本专业以数学、力学理论为基础，
毕业生可在厂矿、土木建筑、研究院所等单位从事工程结构设计、生产、技术管理、科研、教学等方面的工作。"
船舶与海洋工程,24346,培养具有扎实的数学、力学基础和较强的计算机、外语应用能力，掌握现代船舶与海洋石油工程研究、设计、建造的基本理论和基本技能，并能在船舶与海洋结构物研究、设计、施工、检验、使用和管理等部门从事技术和管理方面工作的高级工程技术人员。毕业生主要就业于与船舶修造、海洋石油工程相关部门，从事生产管理和科研工作。
地球物理学,24346,"国家级特色专业、首批入选国家级一流本科专业。
地球物理学利用现代物理方法研究地球结构特征，通过对重力、地磁、地电和地震波等各种物理场的观测和定量描述，探索地球深部构造及其相关的矿产资源、地震防灾减灾、地下空间利用、海洋和大气演化等
毕业生既能胜任地球深部构造研究、天文学相关研究或高校教师工作；还可以从事地下各类矿产资源探测和地下空间开发等工程；更是从事地震预测和防震减灾等工作的主力军
"
英语,25680,"培养具有扎实的英语语言基础知识，较强的英语语言运用能力，一定的石油科技和经济贸易等相关专业知识，以及比较出色的学习能力、业务能力、创新能力的高级复合型英语人才。
毕业生可在外交、外经、外贸、对外文化交流、海关、新闻出版、教育、科研、旅游、中外企业以及石油石化等部门从事翻译、研究、教学、管理工作。"
应用化学,25680,"应用化学专业为国家特色专业和山东省品牌专业，在石油石化领域具有明显的优势和特色。经过近三十年的建设和发展，已成为国内石油和石油化工领域最有影响的专业之一。
应用化学专业以培养基础理论扎实、实践能力强、石油石化特色鲜明、理工复合型应用化学人才为目标，
毕业生就业面广泛，以石油石化和能源相关的研究院所和企业为主，能在石油、炼油、化工、材料、环保等领域从事技术开发、生产技术管理和科学研究等方面工作"
海洋油气工程,25680,"培养具备海洋工程知识，掌握油气开发理论与方法以及海洋钻完井、海洋采油与油气集输等理论与技术，能满足21世纪海洋石油工业发展需要的复合型人才，以适应我国海洋石油工业的发展需要。毕业生主要就业与海洋石油相关公司及科研部门，从事生产、管理与科研工作。
        "
油气储运工程,26361,油气储运工程专业历经十余年连续3次获得全国高校专业评价A++等级，并保持全国第一。以服务国家石油工业为使命，领导我国油气储运工程教育发展，建立国家级实验教学示范中心、虚拟仿真实验教学中心和12个校企合作实践训练基地。创新理念和品牌资源，形成核心课程体系，探索人才培养模式，成果指导同类专业建设，辐射影响力广泛。
建筑环境与能源应用工程,26361,"本专业旨在培养德智体美全面发展、基础扎实、知识面广、能力强、素质高、有创新意识的高级工程技术人才，适应我国社会主义现代化建设需要。
毕业生具备从事燃气工业及民用输配系统、暖通系统等领域的规划、设计、建设、管理等工作，并具备初步的应用研究和技术开发能力。学制四年，可授予硕士学位。"
测绘工程,26361,测绘工程专业随着航空航天、物联网、5G、人工智能等技术的快速发展，迎来更广阔的发展前景。中国石油大学（华东）测绘工程专业自1998年设立以来不断发展，已成为高度自动化、智能化的信息采集、加工、处理、表达与应用学科。专业依托博士硕士学位点，重点研究3S-GNSS、RS、GIS等技术应用，培养多层次人才，毕业生就业率90%以上，深受用人单位认可。
